"","cluster","Accession","Protein","SL_GOIs","Gene"
"Zm00001d045559_T002",5,"Zm00001d045559_T002","Binding partner of ACD11 1",NA,"Zm00001d045559"
"Zm00001d035762_T001",5,"Zm00001d035762_T001","Charged multivesicular body protein 5%3B Putative SNF domain containing family protein  ","Other","Zm00001d035762"
"Zm00001d022600_T001",5,"Zm00001d022600_T001","Eukaryotic aspartyl protease family protein","Other","Zm00001d022600"
"Zm00001d013086_T003",5,"Zm00001d013086_T003","40S ribosomal protein S18",NA,"Zm00001d013086"
"Zm00001d028606_T002",5,"Zm00001d028606_T002","Oxysterol-binding protein-related protein 3B","Other","Zm00001d028606"
"Zm00001d017656_T001",5,"Zm00001d017656_T001","Uncharacterized enzyme involved in pigment biosynthesis  ",NA,"Zm00001d017656"
"Zm00001d052286_T001",5,"Zm00001d052286_T001","protein_coding","Other","Zm00001d052286"
"Zm00001d045323_T008",5,"Zm00001d045323_T008"," Profilin homolog5",NA,"Zm00001d045323"
"Zm00001d011233_T004",5,"Zm00001d011233_T004","SIT4 phosphatase-associated family protein","Other","Zm00001d011233"
"Zm00001d018468_T003",5,"Zm00001d018468_T003"," formaldehyde dehydrogenase homolog1","Other","Zm00001d018468"
"Zm00001d004386_T001",5,"Zm00001d004386_T001","Phosphoglycerate mutase family protein","Other","Zm00001d004386"
"Zm00001d018517_T002",5,"Zm00001d018517_T002","NAD(P)-binding Rossmann-fold superfamily protein",NA,"Zm00001d018517"
"Zm00001d023430_T001",5,"Zm00001d023430_T001","Endonuclease III homolog 1 chloroplastic","Other","Zm00001d023430"
"Zm00001d014519_T001",5,"Zm00001d014519_T001","Translation machinery associated TMA7","Other","Zm00001d014519"
"Zm00001d022115_T005",5,"Zm00001d022115_T005","signal recognition particle-related / SRP-related",NA,"Zm00001d022115"
"Zm00001d014792_T003",5,"Zm00001d014792_T003"," shepherd-like1","Other","Zm00001d014792"
"Zm00001d034667_T002",5,"Zm00001d034667_T002","Fes1A","Other","Zm00001d034667"
"Zm00001d012677_T011",5,"Zm00001d012677_T011","Glycerophosphodiester phosphodiesterase GDPD5",NA,"Zm00001d012677"
"Zm00001d005558_T001",5,"Zm00001d005558_T001","Putative leucyl-tRNA synthetase  ","Other","Zm00001d005558"
"Zm00001d028207_T010",5,"Zm00001d028207_T010","ATP synthase subunit gamma mitochondrial",NA,"Zm00001d028207"
"Zm00001d012503_T003",5,"Zm00001d012503_T003","Nucleic acid-binding OB-fold-like protein","Other","Zm00001d012503"
"Zm00001d034736_T003",5,"Zm00001d034736_T003"," chloroplast protein synthesis1","Other","Zm00001d034736"
"Zm00001d048562_T002",5,"Zm00001d048562_T002","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein",NA,"Zm00001d048562"
"Zm00001d020957_T002",5,"Zm00001d020957_T002","NAD(P)-binding Rossmann-fold superfamily protein","Other","Zm00001d020957"
"Zm00001d024212_T007",5,"Zm00001d024212_T007","Diacylglycerol kinase 2  ","Other","Zm00001d024212"
"Zm00001d039821_T001",5,"Zm00001d039821_T001","Histone H2B  ","Other","Zm00001d039821"
"Zm00001d013392_T001",5,"Zm00001d013392_T001","Histone H2A  ","Other","Zm00001d013392"
"Zm00001d002426_T001",5,"Zm00001d002426_T001","Thylakoid lumenal 29 kDa protein chloroplastic","Other","Zm00001d002426"
"Zm00001d028745_T001",5,"Zm00001d028745_T001","Rhodanese-like family protein  ","Other","Zm00001d028745"
"Zm00001d051563_T001",5,"Zm00001d051563_T001","Ornithine carbamoyltransferase chloroplastic","Other","Zm00001d051563"
"Zm00001d016982_T001",5,"Zm00001d016982_T001","Protein NRT1/ PTR FAMILY 6.4","Other","Zm00001d016982"
"Zm00001d052948_T001",5,"Zm00001d052948_T001","Putative TCP-1/cpn60 chaperonin family protein  ","Other","Zm00001d052948"
"Zm00001d042761_T005",5,"Zm00001d042761_T005","Sorting nexin 1",NA,"Zm00001d042761"
"Zm00001d044172_T002",5,"Zm00001d044172_T002"," SGT1 disease resistance protein homolog1","Other","Zm00001d044172"
"Zm00001d021025_T001",5,"Zm00001d021025_T001","Chloroplastic quinone-oxidoreductase  ","Other","Zm00001d021025"
"Zm00001d048924_T001",5,"Zm00001d048924_T001","Putative DEAD-box ATP-dependent RNA helicase family protein  ","Other","Zm00001d048924"
"Zm00001d017771_T001",5,"Zm00001d017771_T001","Isoflavone reductase  ","Other","Zm00001d017771"
"Zm00001d049230_T001",5,"Zm00001d049230_T001","SKP1-like protein 1A","Other","Zm00001d049230"
"Zm00001d002781_T019",5,"Zm00001d002781_T019"," RNA recognition water-stress protein1",NA,"Zm00001d002781"
"Zm00001d037111_T001",5,"Zm00001d037111_T001","40S ribosomal protein S17-1","Cytosolic ribosome","Zm00001d037111"
"Zm00001d008259_T001",5,"Zm00001d008259_T001","B6TGR7]","Other","Zm00001d008259"
"Zm00001d019472_T002",5,"Zm00001d019472_T002","Calcium-dependent lipid-binding (CaLB domain) family protein","Other","Zm00001d019472"
"Zm00001d031956_T001",5,"Zm00001d031956_T001","Ribosomal protein  ","Other","Zm00001d031956"
"Zm00001d027728_T001",5,"Zm00001d027728_T001","DEAD-box ATP-dependent RNA helicase 38","Other","Zm00001d027728"
"Zm00001d022209_T001",5,"Zm00001d022209_T001","Developmentally-regulated GTP-binding protein 1  ","Other","Zm00001d022209"
"Zm00001d042985_T002",5,"Zm00001d042985_T002","BAG family molecular chaperone regulator 4",NA,"Zm00001d042985"
"Zm00001d049656_T001",5,"Zm00001d049656_T001","Eukaryotic translation initiation factor 3 subunit G  ","Other","Zm00001d049656"
"Zm00001d023565_T001",5,"Zm00001d023565_T001","Transcription factor TCP8","Other","Zm00001d023565"
"Zm00001d003672_T001",5,"Zm00001d003672_T001","40S ribosomal protein S10-1","Cytosolic ribosome","Zm00001d003672"
"Zm00001d028787_T001",5,"Zm00001d028787_T001","Malonyl CoA-acyl carrier protein transacylase  ","Other","Zm00001d028787"
"Zm00001d053515_T011",5,"Zm00001d053515_T011","Protein kinase superfamily protein",NA,"Zm00001d053515"
"Zm00001d013887_T002",5,"Zm00001d013887_T002","DNA mismatch repair protein MutS type 2",NA,"Zm00001d013887"
"Zm00001d045025_T005",5,"Zm00001d045025_T005","20 kDa chaperonin chloroplastic","Other","Zm00001d045025"
"Zm00001d010016_T001",5,"Zm00001d010016_T001","60S ribosomal protein L11-1","Cytosolic ribosome","Zm00001d010016"
"Zm00001d014355_T001",5,"Zm00001d014355_T001","60S ribosomal protein L27-2","Cytosolic ribosome","Zm00001d014355"
"Zm00001d030011_T001",5,"Zm00001d030011_T001","Eukaryotic translation initiation factor 3 subunit B","Other","Zm00001d030011"
"Zm00001d004986_T001",5,"Zm00001d004986_T001","RNA-binding (RRM/RBD/RNP motifs) family protein","Other","Zm00001d004986"
"Zm00001d007133_T002",5,"Zm00001d007133_T002","Histone-arginine methyltransferase CARM1  ",NA,"Zm00001d007133"
"Zm00001d033646_T012",5,"Zm00001d033646_T012","Pinin/SDK/memA/ protein conserved region containing protein  ","Other","Zm00001d033646"
"Zm00001d012652_T001",5,"Zm00001d012652_T001","Signal recognition particle 54 kDa protein 3",NA,"Zm00001d012652"
"Zm00001d009618_T001",5,"Zm00001d009618_T001"," what's this factor1","Other","Zm00001d009618"
"Zm00001d014189_T001",5,"Zm00001d014189_T001","protein_coding",NA,"Zm00001d014189"
"Zm00001d014533_T001",5,"Zm00001d014533_T001","RNA-binding (RRM/RBD/RNP motifs) family protein","Other","Zm00001d014533"
"Zm00001d011348_T001",5,"Zm00001d011348_T001","HXXXD-type acyl-transferase family protein","Other","Zm00001d011348"
"Zm00001d046599_T001",5,"Zm00001d046599_T001","Supernumerary aleurone1  ","Other","Zm00001d046599"
"Zm00001d011532_T002",5,"Zm00001d011532_T002","Protein VACUOLELESS1","Other","Zm00001d011532"
"Zm00001d047498_T001",5,"Zm00001d047498_T001","Serine/arginine-rich-splicing factor SR34","Other","Zm00001d047498"
"Zm00001d052848_T004",5,"Zm00001d052848_T004","COP9 signalosome complex subunit 6a",NA,"Zm00001d052848"
"Zm00001d037734_T001",5,"Zm00001d037734_T001","Serine/threonine-protein phosphatase 5","Other","Zm00001d037734"
"Zm00001d047589_T001",5,"Zm00001d047589_T001","Putative homeodomain containing protein  ","Other","Zm00001d047589"
"Zm00001d028143_T005",5,"Zm00001d028143_T005","COP9 signalosome complex subunit 4",NA,"Zm00001d028143"
"Zm00001d015962_T001",5,"Zm00001d015962_T001","prolyl oligopeptidase family protein","Other","Zm00001d015962"
"Zm00001d032337_T001",5,"Zm00001d032337_T001","Thioredoxin-like protein CITRX chloroplastic","Other","Zm00001d032337"
"ZemaCp015.1",5,"ZemaCp015.1","rpoC2",NA,"ZemaCp015.1"
"Zm00001d032790_T002",5,"Zm00001d032790_T002","plastid transcriptionally active 3","Other","Zm00001d032790"
"Zm00001d012141_T001",5,"Zm00001d012141_T001","Protein PLASTID TRANSCRIPTIONALLY ACTIVE 10","Other","Zm00001d012141"
"Zm00001d008281_T001",5,"Zm00001d008281_T001","EMB1374 isoform 1%3B EMB1374 isoform 2  ","Other","Zm00001d008281"
"Zm00001d009638_T001",5,"Zm00001d009638_T001","Ketol-acid reductoisomerase chloroplastic","Other","Zm00001d009638"
"Zm00001d008310_T002",5,"Zm00001d008310_T002","Inositol-1-monophosphatase  ",NA,"Zm00001d008310"
"Zm00001d041777_T001",5,"Zm00001d041777_T001","Beta-glucosidase 17","Other","Zm00001d041777"
"Zm00001d016542_T001",5,"Zm00001d016542_T001","FAD/NAD(P)-binding oxidoreductase","Other","Zm00001d016542"
"Zm00001d028180_T002",5,"Zm00001d028180_T002"," low phytic acid1",NA,"Zm00001d028180"
"Zm00001d039448_T001",5,"Zm00001d039448_T001","Transducin/WD40 repeat-like superfamily protein",NA,"Zm00001d039448"
"Zm00001d037189_T004",5,"Zm00001d037189_T004","Peptidyl-prolyl cis-trans isomerase CYP40","Other","Zm00001d037189"
"Zm00001d013221_T001",5,"Zm00001d013221_T001","SWIb domain-containing protein  ","Other","Zm00001d013221"
"Zm00001d005264_T001",5,"Zm00001d005264_T001","Tetratricopeptide repeat (TPR)-like superfamily protein","Other","Zm00001d005264"
"Zm00001d050316_T005",5,"Zm00001d050316_T005","splicing factor PWI domain-containing protein / RNA recognition motif (RRM)-containing protein",NA,"Zm00001d050316"
"Zm00001d040344_T001",5,"Zm00001d040344_T001","UBP1-associated protein 2A","Other","Zm00001d040344"
"Zm00001d047220_T003",5,"Zm00001d047220_T003","Serine/threonine-protein kinase SRK2C",NA,"Zm00001d047220"
"Zm00001d043325_T001",5,"Zm00001d043325_T001"," plastid transcriptionally active chromosome 12 homolog","Other","Zm00001d043325"
"Zm00001d028548_T001",5,"Zm00001d028548_T001","maternal effect embryo arrest 59","Other","Zm00001d028548"
"Zm00001d013528_T001",5,"Zm00001d013528_T001","protein_coding","Other","Zm00001d013528"
"Zm00001d018781_T001",5,"Zm00001d018781_T001","Seed maturation protein  ","Other","Zm00001d018781"
"Zm00001d025739_T011",5,"Zm00001d025739_T011","protein_coding",NA,"Zm00001d025739"
"Zm00001d044575_T001",5,"Zm00001d044575_T001","alpha/beta-Hydrolases superfamily protein","Other","Zm00001d044575"
"Zm00001d017883_T001",5,"Zm00001d017883_T001","Enhancer of mRNA-decapping protein 4","Other","Zm00001d017883"
"Zm00001d001895_T002",5,"Zm00001d001895_T002","Plant UBX domain-containing protein 7","Other","Zm00001d001895"
"Zm00001d014116_T002",5,"Zm00001d014116_T002"," phosphate transporter protein1","Other","Zm00001d014116"
"Zm00001d029654_T003",5,"Zm00001d029654_T003"," trehalase1",NA,"Zm00001d029654"
"Zm00001d019704_T001",5,"Zm00001d019704_T001","protein_coding","Other","Zm00001d019704"
"Zm00001d008743_T003",5,"Zm00001d008743_T003","Ubiquitin carboxyl-terminal hydrolase  ","Other","Zm00001d008743"
"Zm00001d031569_T001",5,"Zm00001d031569_T001","Peptidyl-prolyl isomerase  ","Other","Zm00001d031569"
"Zm00001d021582_T001",5,"Zm00001d021582_T001","Probable protein phosphatase 2C 20","Other","Zm00001d021582"
"Zm00001d024952_T005",5,"Zm00001d024952_T005"," aconitase2",NA,"Zm00001d024952"
"Zm00001d043410_T001",5,"Zm00001d043410_T001","P-loop containing nucleoside triphosphate hydrolases superfamily protein","Other","Zm00001d043410"
"Zm00001d037693_T001",5,"Zm00001d037693_T001","Malic enzyme  ",NA,"Zm00001d037693"
"Zm00001d042930_T001",5,"Zm00001d042930_T001"," histone 2B4",NA,"Zm00001d042930"
"Zm00001d020345_T007",5,"Zm00001d020345_T007","Nucleobase-ascorbate transporter 6",NA,"Zm00001d020345"
"Zm00001d021981_T001",5,"Zm00001d021981_T001","Peptidase M20/M25/M40 family protein",NA,"Zm00001d021981"
"Zm00001d054017_T001",5,"Zm00001d054017_T001","Signal peptide peptidase","Other","Zm00001d054017"
"Zm00001d036547_T001",5,"Zm00001d036547_T001","Translation machinery associated TMA7","Other","Zm00001d036547"
"Zm00001d047449_T019",5,"Zm00001d047449_T019","Protein HUA2-LIKE 3",NA,"Zm00001d047449"
"Zm00001d046714_T003",5,"Zm00001d046714_T003","NAD(P)-binding Rossmann-fold superfamily protein",NA,"Zm00001d046714"
"Zm00001d038007_T001",5,"Zm00001d038007_T001","Sorting nexin 2B","Other","Zm00001d038007"
"Zm00001d023741_T004",5,"Zm00001d023741_T004","Alanine--tRNA ligase","Other","Zm00001d023741"
"Zm00001d034564_T001",5,"Zm00001d034564_T001","Probable galactinol--sucrose galactosyltransferase 2","Other","Zm00001d034564"
"Zm00001d008268_T001",5,"Zm00001d008268_T001"," cystatin4","Other","Zm00001d008268"
"Zm00001d003271_T001",5,"Zm00001d003271_T001","Peptide methionine sulfoxide reductase  ","Other","Zm00001d003271"
"Zm00001d035616_T001",5,"Zm00001d035616_T001","Soluble inorganic pyrophosphatase 4","Other","Zm00001d035616"
"Zm00001d012420_T001",5,"Zm00001d012420_T001","Heat shock 70 kDa protein  ","Other","Zm00001d012420"
"Zm00001d041693_T002",5,"Zm00001d041693_T002","Golgin candidate 6","Other","Zm00001d041693"
"Zm00001d019163_T001",5,"Zm00001d019163_T001","Stachyose synthase  ",NA,"Zm00001d019163"
"Zm00001d047349_T001",5,"Zm00001d047349_T001"," salt-induced MAP kinase1","Other","Zm00001d047349"
"Zm00001d008389_T001",5,"Zm00001d008389_T001","Sphingosine-1-phosphate lyase","Other","Zm00001d008389"
"Zm00001d028601_T002",5,"Zm00001d028601_T002","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","Other","Zm00001d028601"
"Zm00001d048707_T001",5,"Zm00001d048707_T001"," benzoxazinone synthesis8","Other","Zm00001d048707"
"Zm00001d025132_T001",5,"Zm00001d025132_T001","Nucleic acid-binding OB-fold-like protein","Other","Zm00001d025132"
"Zm00001d009445_T001",5,"Zm00001d009445_T001","double-stranded DNA-binding family protein","Other","Zm00001d009445"
"Zm00001d049305_T002",5,"Zm00001d049305_T002","HSP20-like chaperones superfamily protein","Other","Zm00001d049305"
"Zm00001d006904_T001",5,"Zm00001d006904_T001","Multifunctional methyltransferase subunit TRM112-like protein ","Other","Zm00001d006904"
"Zm00001d037417_T005",5,"Zm00001d037417_T005","Protein HOMOLOG OF MAMMALIAN LYST-INTERACTING PROTEIN 5",NA,"Zm00001d037417"
"Zm00001d043851_T001",5,"Zm00001d043851_T001","Long chain acyl-CoA synthetase 5","Other","Zm00001d043851"
"Zm00001d029133_T009",5,"Zm00001d029133_T009","Nuclear cap-binding protein subunit 1","Other","Zm00001d029133"
"Zm00001d011286_T001",5,"Zm00001d011286_T001","Pop3 peptide  ","Other","Zm00001d011286"
"Zm00001d032166_T003",5,"Zm00001d032166_T003","Protein ENHANCED DISEASE RESISTANCE 2","Other","Zm00001d032166"
"Zm00001d024787_T001",5,"Zm00001d024787_T001","RNA-binding protein 8A  ","Other","Zm00001d024787"
"Zm00001d014526_T001",5,"Zm00001d014526_T001","EH domain-containing protein 1","Other","Zm00001d014526"
"Zm00001d017512_T003",5,"Zm00001d017512_T003","YbaK/aminoacyl-tRNA synthetase-associated domain","Other","Zm00001d017512"
"Zm00001d020444_T003",5,"Zm00001d020444_T003","transcription regulators;zinc ion binding","Other","Zm00001d020444"
"Zm00001d021553_T038",5,"Zm00001d021553_T038","Regulator of nonsense transcripts 1 homolog",NA,"Zm00001d021553"
"Zm00001d004930_T003",5,"Zm00001d004930_T003","Peptidyl-prolyl cis-trans isomerase FKBP42",NA,"Zm00001d004930"
"Zm00001d006235_T001",5,"Zm00001d006235_T001","Proteasome subunit alpha type  ","Other","Zm00001d006235"
"Zm00001d012735_T003",5,"Zm00001d012735_T003","B4FS53]","Other","Zm00001d012735"
"Zm00001d007031_T001",5,"Zm00001d007031_T001","Chaperonin  ","Other","Zm00001d007031"
"Zm00001d004992_T001",5,"Zm00001d004992_T001","Probable inactive dual specificity protein phosphatase-like ",NA,"Zm00001d004992"
"Zm00001d003423_T002",5,"Zm00001d003423_T002","Arsenical pump-driving ATPase  ","Other","Zm00001d003423"
"Zm00001d038745_T006",5,"Zm00001d038745_T006","SNF1-related protein kinase catalytic subunit alpha KIN10",NA,"Zm00001d038745"
"Zm00001d022048_T003",5,"Zm00001d022048_T003","Cobalamin biosynthesis CobW-like protein",NA,"Zm00001d022048"
"Zm00001d022456_T001",5,"Zm00001d022456_T001","Peroxidase 42  ","Other","Zm00001d022456"
"Zm00001d052682_T001",5,"Zm00001d052682_T001","Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB1 chloroplastic","Other","Zm00001d052682"
"Zm00001d034532_T002",5,"Zm00001d034532_T002","Vacuolar protein sorting-associated protein 32 homolog 1","Other","Zm00001d034532"
"Zm00001d032358_T001",5,"Zm00001d032358_T001","auxin-responsive family protein","Other","Zm00001d032358"
"Zm00001d032866_T001",5,"Zm00001d032866_T001","UDP-glycosyltransferase 86A2","Other","Zm00001d032866"
"Zm00001d008377_T001",5,"Zm00001d008377_T001","Putative alcohol dehydrogenase superfamily protein  ","Other","Zm00001d008377"
"Zm00001d037993_T002",5,"Zm00001d037993_T002","Ran-binding protein 1 homolog a","Other","Zm00001d037993"
"Zm00001d041243_T001",5,"Zm00001d041243_T001","Probable malate dehydrogenase glyoxysomal","Other","Zm00001d041243"
"Zm00001d011461_T001",5,"Zm00001d011461_T001","B6SMQ8]","Other","Zm00001d011461"
"Zm00001d019234_T001",5,"Zm00001d019234_T001","THO complex subunit 4B","Other","Zm00001d019234"
"Zm00001d043789_T001",5,"Zm00001d043789_T001","Glutathione S-transferase GSTU6  ","Other","Zm00001d043789"
"Zm00001d039287_T004",5,"Zm00001d039287_T004","VHS domain-containing protein ",NA,"Zm00001d039287"
"Zm00001d012571_T004",5,"Zm00001d012571_T004"," aleurone9",NA,"Zm00001d012571"
"Zm00001d012173_T001",5,"Zm00001d012173_T001","Fructokinase-1  ","Other","Zm00001d012173"
"Zm00001d051528_T005",5,"Zm00001d051528_T005","survival motor neuron protein",NA,"Zm00001d051528"
"Zm00001d050610_T001",5,"Zm00001d050610_T001","Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain","Other","Zm00001d050610"
"Zm00001d031101_T002",5,"Zm00001d031101_T002"," methyl binding domain106","Other","Zm00001d031101"
"Zm00001d041290_T001",5,"Zm00001d041290_T001"," methyl binding domain105","Other","Zm00001d041290"
"Zm00001d033291_T005",5,"Zm00001d033291_T005","Probable WRKY transcription factor 74","Other","Zm00001d033291"
"Zm00001d033651_T005",5,"Zm00001d033651_T005","Beta-glucosidase  ","Other","Zm00001d033651"
"Zm00001d040314_T001",5,"Zm00001d040314_T001","Transcription factor Pur-alpha 1","Other","Zm00001d040314"
"Zm00001d042536_T001",5,"Zm00001d042536_T001"," fructokinase1","Other","Zm00001d042536"
"Zm00001d044475_T001",5,"Zm00001d044475_T001","HXXXD-type acyl-transferase family protein","Other","Zm00001d044475"
"Zm00001d043552_T001",5,"Zm00001d043552_T001"," diphosphonucleotide phosphatase2","Other","Zm00001d043552"
"Zm00001d024307_T007",5,"Zm00001d024307_T007","UDP-N-acetylglucosamine diphosphorylase 2","Other","Zm00001d024307"
"Zm00001d015208_T004",5,"Zm00001d015208_T004","Cleavage and polyadenylation specificity factor (CPSF) A subunit protein",NA,"Zm00001d015208"
"Zm00001d039452_T003",5,"Zm00001d039452_T003","DEAD-box ATP-dependent RNA helicase 20","Other","Zm00001d039452"
"Zm00001d017117_T001",5,"Zm00001d017117_T001","26S proteasome non-ATPase regulatory subunit 6 homolog","Other","Zm00001d017117"
"Zm00001d053232_T007",5,"Zm00001d053232_T007","26S proteasome non-ATPase regulatory subunit 3 homolog A",NA,"Zm00001d053232"
"Zm00001d017958_T001",5,"Zm00001d017958_T001","Glutamine synthetase root isozyme 3  ","Other","Zm00001d017958"
"Zm00001d006085_T002",5,"Zm00001d006085_T002","Proteasome subunit beta type  ","Other","Zm00001d006085"
"Zm00001d027333_T006",5,"Zm00001d027333_T006","AP-2 complex subunit alpha-2",NA,"Zm00001d027333"
"Zm00001d032649_T001",5,"Zm00001d032649_T001","Probable prefoldin subunit 5","Other","Zm00001d032649"
